year,LootBox,Pay to Win,Cosmetic
04/06/2014,58.25856645,13.41240983,68.31213557
11/06/2014,60.06685031,13.5615002,69.42328177
18/06/2014,55.08561075,14.99010904,67.2622293
25/06/2014,53.27928392,16.8111882,67.62161086
02/07/2014,55.9568293,15.55162213,69.03234279
09/07/2014,60.00393638,15.73702992,71.32871771
16/07/2014,60.07916017,16.75732802,71.28641081
23/07/2014,59.28052635,16.79934891,70.69502476
30/07/2014,55.90403779,17.54949894,68.46290257
06/08/2014,57.2359043,17.18424751,69.35447628
13/08/2014,58.45883612,16.50969006,70.85296245
20/08/2014,56.51958956,15.89079253,70.33934211
27/08/2014,57.34970804,16.21691209,70.43624376
03/09/2014,58.93160319,15.69855264,71.4213396
10/09/2014,58.88757932,15.43385219,71.19005227
17/09/2014,58.06613049,15.2432398,70.50305682
24/09/2014,56.33719366,16.12518942,69.77162693
01/10/2014,55.50852984,15.21345353,68.8439096
08/10/2014,57.94400454,15.0241412,70.57782809
15/10/2014,57.03276938,15.12502505,71.94765501
22/10/2014,57.17089282,15.73584767,71.47650258
29/10/2014,57.45918015,15.15960097,71.11472035
05/11/2014,57.84687632,15.02182218,70.50261515
12/11/2014,58.42527766,14.22960403,70.63309295
19/11/2014,60.38075014,13.70343831,72.30781628
26/11/2014,58.5914505,14.19176475,71.43505905
03/12/2014,58.00734617,14.30816891,71.44096931
10/12/2014,59.71098617,14.54225372,72.09185102
17/12/2014,57.36195083,14.74374231,70.95811838
24/12/2014,55.77397547,14.68092394,69.59778882
31/12/2014,53.98307748,14.6077166,67.96821366
01/01/2015,56.9970975,15.24836944,69.73993854
08/01/2015,60.51313715,14.07628486,71.67617775
15/01/2015,59.9727156,14.96416018,71.6079066
22/01/2015,61.11412255,14.26729099,71.79320989
29/01/2015,61.28748178,13.82970811,72.60298916
05/02/2015,58.61738693,14.47067956,70.98017622
12/02/2015,61.31905006,13.65480358,73.1263307
19/02/2015,63.27655845,13.11392405,74.33577604
26/02/2015,59.80894357,13.81949099,72.3358749
05/03/2015,57.1178642,14.24340777,68.48102076
12/03/2015,62.00023567,12.98070649,71.88041348
19/03/2015,63.24509379,12.8789703,72.70727083
26/03/2015,60.39433272,15.32431543,71.87881244
02/04/2015,55.68169265,23.4300493,75.97872777
09/04/2015,57.04224484,23.10416056,77.00334443
16/04/2015,60.23448262,22.13658625,79.58694268
23/04/2015,62.10743233,19.4942502,78.96387261
30/04/2015,64.81832472,19.03032067,79.23118811
07/05/2015,65.97106293,18.41192136,79.76513817
